timestamp,Watt,Temp,Vin,Vout
2026-01-27T16:19:42.455023,120.0,21.1,100.4,99.9
2026-01-27T16:20:42.873770,120.0,20.9,100.3,99.9
2026-01-27T16:21:43.291786,128.0,20.7,100.4,99.9
2026-01-27T16:22:43.711213,120.0,20.5,100.7,99.9
2026-01-27T16:23:44.128611,120.0,20.4,100.9,99.9
2026-01-27T16:24:44.547442,128.0,20.6,100.9,99.9
2026-01-27T16:25:44.963091,136.0,20.9,100.7,99.9
2026-01-27T16:26:45.382372,120.0,21.2,100.7,99.9
2026-01-27T16:27:45.802512,120.0,21.6,101.0,99.9
2026-01-27T16:28:46.221420,128.0,21.9,100.9,99.9
2026-01-27T16:29:46.641038,120.0,22.0,100.8,99.9
2026-01-27T16:30:47.058191,120.0,22.3,101.0,99.9
2026-01-27T16:31:47.476092,128.0,22.4,101.2,99.9
2026-01-27T16:32:47.897659,144.0,22.5,101.0,99.9
2026-01-27T16:33:48.338871,120.0,22.4,100.9,99.9
2026-01-27T16:34:48.760837,120.0,22.2,100.9,99.9
2026-01-27T16:35:49.180993,120.0,21.9,100.7,99.9
2026-01-27T16:36:49.598895,120.0,21.6,100.9,99.9
2026-01-27T16:37:50.017848,120.0,21.3,101.1,99.9
2026-01-27T16:38:50.438359,120.0,21.1,101.1,99.9
2026-01-27T16:39:50.856250,120.0,20.9,101.3,99.9
2026-01-27T16:40:51.294946,128.0,20.6,101.2,99.9
2026-01-27T16:41:51.714445,136.0,20.4,101.1,99.9
2026-01-27T16:42:52.133213,120.0,20.4,101.0,99.9
2026-01-27T16:43:52.554991,128.0,20.6,100.9,99.9
2026-01-27T16:44:52.974051,136.0,21.0,100.9,99.9
2026-01-27T16:45:53.391634,128.0,21.4,100.8,99.9
2026-01-27T16:46:53.808632,128.0,21.7,101.0,99.9
2026-01-27T16:47:54.227663,120.0,22.0,101.0,99.9
2026-01-27T16:48:54.648060,120.0,22.1,101.0,99.9
2026-01-27T16:49:55.066826,128.0,22.3,101.1,99.9
2026-01-27T16:50:55.486589,120.0,22.5,101.2,99.9
2026-01-27T16:51:55.904810,120.0,22.5,100.9,99.9
2026-01-27T16:52:56.323148,128.0,22.5,101.0,99.9
2026-01-27T16:53:56.742419,136.0,22.3,101.1,99.9
2026-01-27T16:54:57.162121,120.0,22.0,101.0,99.9
2026-01-27T16:55:57.602793,120.0,21.7,100.5,99.9
2026-01-27T16:56:58.022448,120.0,21.5,100.6,99.9
2026-01-27T16:57:58.443496,128.0,21.2,100.6,99.9
2026-01-27T16:58:58.860980,120.0,21.0,100.8,99.9
2026-01-27T16:59:59.280602,128.0,20.8,100.9,99.9
2026-01-27T17:00:59.698452,128.0,20.6,101.1,99.9
2026-01-27T17:02:00.116439,120.0,20.5,101.2,99.9
2026-01-27T17:03:00.557256,120.0,20.5,101.1,99.9
2026-01-27T17:04:00.976459,120.0,20.9,101.1,99.9
2026-01-27T17:05:01.395478,128.0,21.3,101.1,99.9
2026-01-27T17:06:01.812400,120.0,21.5,101.2,99.9
2026-01-27T17:07:02.229602,128.0,21.7,101.3,99.9
2026-01-27T17:08:02.710122,144.0,21.9,101.0,99.9
2026-01-27T17:09:03.129843,120.0,22.0,101.2,99.9
2026-01-27T17:10:03.547650,120.0,22.3,101.1,99.9
2026-01-27T17:11:03.965732,120.0,22.4,101.0,99.9
2026-01-27T17:12:04.384497,120.0,22.5,101.2,99.9
2026-01-27T17:13:04.804931,120.0,22.4,101.5,99.9
2026-01-27T17:14:05.224490,128.0,22.2,101.4,99.9
2026-01-27T17:15:05.642411,128.0,21.9,101.4,99.9
2026-01-27T17:16:06.061094,120.0,21.6,101.3,99.9
2026-01-27T17:17:06.479729,120.0,21.3,101.2,99.9
2026-01-27T17:18:06.920011,128.0,21.0,101.0,99.9
2026-01-27T17:19:07.341997,120.0,20.8,100.8,99.9
2026-01-27T17:20:07.762823,128.0,20.6,100.8,99.9
2026-01-27T17:21:08.181732,120.0,20.4,100.7,99.9
2026-01-27T17:22:08.601050,128.0,20.6,100.8,99.9
2026-01-27T17:23:09.019931,128.0,20.8,101.0,99.9
2026-01-27T17:24:09.439262,120.0,21.1,101.0,99.9
2026-01-27T17:25:09.882622,120.0,21.4,100.9,99.9
2026-01-27T17:26:10.301209,120.0,21.7,100.8,99.8
2026-01-27T17:27:10.722603,120.0,21.9,100.9,99.9
2026-01-27T17:28:11.142495,128.0,22.1,100.9,99.9
2026-01-27T17:29:11.562873,128.0,22.2,101.0,99.9
2026-01-27T17:30:11.982943,120.0,22.3,101.1,99.9
2026-01-27T17:31:12.402022,120.0,22.4,101.2,99.9
2026-01-27T17:32:12.820115,128.0,22.4,101.1,99.9
2026-01-27T17:33:13.240877,128.0,22.3,101.4,99.9
2026-01-27T17:34:13.660605,120.0,21.9,101.4,99.9
2026-01-27T17:35:14.087517,128.0,21.7,101.4,99.9
2026-01-27T17:36:14.509059,128.0,21.4,101.4,99.9
2026-01-27T17:37:14.927009,120.0,21.1,101.2,99.9
2026-01-27T17:38:15.346009,144.0,20.8,101.2,99.9
2026-01-27T17:39:15.764601,128.0,20.6,101.1,99.9
2026-01-27T17:40:16.206229,120.0,20.4,101.0,99.9
2026-01-27T17:41:16.626119,120.0,20.5,100.8,99.9
2026-01-27T17:42:17.043004,120.0,20.7,100.9,99.9
2026-01-27T17:43:17.462765,120.0,21.1,100.7,99.9
2026-01-27T17:44:17.879633,120.0,21.4,100.8,99.9
2026-01-27T17:45:18.298607,120.0,21.7,101.0,99.9
2026-01-27T17:46:18.718011,120.0,22.0,101.2,99.9
2026-01-27T17:47:19.158467,128.0,22.2,101.1,99.9
2026-01-27T17:48:19.577412,128.0,22.4,101.1,99.9
2026-01-27T17:49:19.995943,128.0,22.5,101.3,99.9
2026-01-27T17:50:20.456382,136.0,22.4,101.3,99.9
2026-01-27T17:51:20.879433,120.0,22.3,101.3,99.9
2026-01-27T17:52:21.298820,136.0,22.0,101.5,99.9
2026-01-27T17:53:21.718779,120.0,21.8,101.4,99.9
2026-01-27T17:54:22.137913,128.0,21.5,101.3,99.9
2026-01-27T17:55:22.556751,120.0,21.3,101.5,100.0
2026-01-27T17:56:22.975848,120.0,21.0,101.4,100.0
2026-01-27T17:57:23.394955,128.0,20.8,101.5,99.9
2026-01-27T17:58:23.815049,128.0,20.6,101.1,99.9
2026-01-27T17:59:24.234953,136.0,20.5,101.2,99.9
2026-01-27T18:00:24.654378,120.0,20.5,101.2,99.9
2026-01-27T18:01:25.073779,128.0,20.9,101.2,99.9
2026-01-27T18:02:25.514939,128.0,21.2,101.0,99.9
2026-01-27T18:03:25.932448,128.0,21.6,100.6,99.9
2026-01-27T18:04:26.352003,120.0,21.8,101.0,99.9
2026-01-27T18:05:26.771671,120.0,21.9,100.9,99.9
2026-01-27T18:06:27.191745,120.0,22.2,101.0,99.9
2026-01-27T18:07:27.610871,128.0,22.3,101.1,99.9
2026-01-27T18:08:28.053328,120.0,22.4,101.3,99.9
2026-01-27T18:09:28.494599,136.0,22.4,101.2,99.9
2026-01-27T18:10:28.915059,112.0,22.4,101.5,99.9
2026-01-27T18:11:29.333436,128.0,22.3,101.4,99.9
2026-01-27T18:12:29.775725,128.0,21.9,101.0,99.9
2026-01-27T18:13:30.195986,120.0,21.7,101.0,99.9
2026-01-27T18:14:30.615472,120.0,21.4,100.9,99.9
2026-01-27T18:15:31.034924,128.0,21.1,101.1,99.9
2026-01-27T18:16:31.454793,128.0,20.9,101.1,99.9
2026-01-27T18:17:31.873495,128.0,20.6,101.0,99.9
2026-01-27T18:18:32.291778,128.0,20.4,101.1,99.9
2026-01-27T18:19:32.761411,136.0,20.4,101.1,99.9
2026-01-27T18:20:33.180714,120.0,20.7,100.9,99.9
2026-01-27T18:21:33.600326,120.0,21.1,100.9,99.9
2026-01-27T18:22:34.019083,120.0,21.3,101.0,99.9
2026-01-27T18:23:34.438347,120.0,21.7,100.8,99.9
2026-01-27T18:24:34.880865,144.0,22.0,100.5,99.9
2026-01-27T18:25:35.299897,128.0,22.3,100.7,99.9
2026-01-27T18:26:35.721031,136.0,22.4,100.7,99.9
2026-01-27T18:27:36.139573,136.0,22.5,100.8,99.9
2026-01-27T18:28:36.558974,136.0,22.6,100.7,99.9
2026-01-27T18:29:36.978950,128.0,22.6,101.0,99.9
2026-01-27T18:30:37.397972,136.0,22.3,101.2,99.9
2026-01-27T18:31:37.839446,136.0,22.0,101.5,99.9
2026-01-27T18:32:38.259991,128.0,21.7,101.0,99.9
2026-01-27T18:33:38.680940,144.0,21.4,100.4,99.9
2026-01-27T18:34:39.099564,136.0,21.2,100.4,99.9
2026-01-27T18:35:39.519972,144.0,21.0,100.4,99.9
2026-01-27T18:36:39.940023,144.0,20.9,100.5,99.9
2026-01-27T18:37:40.359675,136.0,20.7,100.9,99.9
2026-01-27T18:38:40.779415,144.0,20.7,100.8,99.9
2026-01-27T18:39:41.199610,136.0,20.8,100.8,99.9
2026-01-27T18:40:41.618227,120.0,21.1,100.8,99.9
2026-01-27T18:41:42.037080,120.0,21.4,100.8,99.9
2026-01-27T18:42:42.454344,120.0,21.7,100.8,99.9
2026-01-27T18:43:42.875075,120.0,21.9,100.6,99.9
2026-01-27T18:44:43.296311,120.0,22.1,100.8,99.9
2026-01-27T18:45:43.716409,128.0,22.3,100.8,99.9
2026-01-27T18:46:44.157753,120.0,22.3,100.6,99.9
2026-01-27T18:47:44.576822,128.0,22.4,100.5,99.9
2026-01-27T18:48:44.996158,120.0,22.4,100.9,99.9
2026-01-27T18:49:45.414008,120.0,22.4,100.9,99.9
2026-01-27T18:50:45.832318,120.0,22.0,100.9,99.9
2026-01-27T18:51:46.253376,128.0,21.7,100.9,99.9
2026-01-27T18:52:46.670781,120.0,21.4,101.2,99.9
2026-01-27T18:53:47.112010,120.0,21.2,100.9,99.9
2026-01-27T18:54:47.530257,128.0,20.9,101.0,99.9
2026-01-27T18:55:47.949070,112.0,20.7,101.0,99.9
2026-01-27T18:56:48.369056,120.0,20.5,101.0,99.9
2026-01-27T18:57:48.789148,128.0,20.4,101.0,99.9
2026-01-27T18:58:49.210784,128.0,20.6,101.1,99.9
2026-01-27T18:59:49.628803,128.0,20.8,101.1,99.9
2026-01-27T19:00:50.046680,128.0,21.1,101.1,99.9
2026-01-27T19:01:50.467584,120.0,21.5,101.1,99.9
2026-01-27T19:02:50.885811,128.0,21.9,101.1,99.9
2026-01-27T19:03:51.318529,128.0,21.9,101.0,99.9
2026-01-27T19:04:51.736572,120.0,22.2,101.2,99.9
2026-01-27T19:05:52.156531,120.0,22.4,101.0,99.9
2026-01-27T19:06:52.574133,120.0,22.5,101.0,99.9
2026-01-27T19:07:52.995843,144.0,22.5,101.0,99.9
2026-01-27T19:08:53.437144,128.0,22.4,101.0,99.9
2026-01-27T19:09:53.855793,120.0,22.1,101.0,99.9
2026-01-27T19:10:54.273706,128.0,21.8,101.1,99.9
2026-01-27T19:11:54.692597,120.0,21.5,100.9,99.9
2026-01-27T19:12:55.111608,128.0,21.3,101.0,99.9
2026-01-27T19:13:55.530484,128.0,21.0,101.1,99.9
2026-01-27T19:14:55.950591,120.0,20.8,101.3,99.9
2026-01-27T19:15:56.391531,112.0,20.6,101.1,99.9
2026-01-27T19:16:56.810906,128.0,20.4,101.5,99.8
2026-01-27T19:17:57.232059,120.0,20.5,101.6,99.9
2026-01-27T19:18:57.650251,120.0,20.8,101.5,99.9
2026-01-27T19:19:58.070181,136.0,21.1,101.4,99.9
2026-01-27T19:20:58.489890,120.0,21.4,101.5,99.9
2026-01-27T19:21:58.920878,120.0,21.6,101.5,99.9
2026-01-27T19:22:59.340767,128.0,21.8,101.5,99.9
2026-01-27T19:23:59.759477,120.0,22.0,101.6,99.9
2026-01-27T19:25:00.177156,152.0,22.2,101.4,99.9
2026-01-27T19:26:00.596814,128.0,22.3,101.3,99.9
2026-01-27T19:27:01.016124,128.0,22.4,101.1,99.9
2026-01-27T19:28:01.438035,120.0,22.4,101.2,99.9
2026-01-27T19:29:01.854579,120.0,22.3,101.4,99.9
2026-01-27T19:30:02.274286,128.0,22.1,101.4,99.9
2026-01-27T19:31:02.715078,120.0,21.8,101.2,99.9
2026-01-27T19:32:03.133840,120.0,21.4,101.1,99.9
2026-01-27T19:33:03.556698,120.0,21.2,101.3,99.9
2026-01-27T19:34:03.975634,128.0,20.9,101.5,99.9
2026-01-27T19:35:04.396639,120.0,20.7,101.2,99.9
2026-01-27T19:36:04.815938,120.0,20.5,101.3,99.9
2026-01-27T19:37:05.234846,120.0,20.4,101.8,99.9
2026-01-27T19:38:05.675484,120.0,20.5,101.8,99.9
2026-01-27T19:39:06.099978,120.0,20.9,101.8,99.9
2026-01-27T19:40:06.517880,120.0,21.3,101.8,99.9
2026-01-27T19:41:06.935852,120.0,21.5,101.9,99.9
2026-01-27T19:42:07.358740,128.0,21.8,101.9,99.9
2026-01-27T19:43:07.794467,136.0,22.0,101.9,99.9
2026-01-27T19:44:08.213889,120.0,22.2,101.7,99.9
2026-01-27T19:45:08.632796,120.0,22.4,101.5,99.9
2026-01-27T19:46:09.051176,120.0,22.5,101.5,99.9
2026-01-27T19:47:09.470476,120.0,22.5,101.7,99.9
2026-01-27T19:48:09.890331,120.0,22.4,101.4,99.9
2026-01-27T19:49:10.311960,120.0,22.1,101.4,99.9
2026-01-27T19:50:10.732588,120.0,21.8,101.5,99.9
2026-01-27T19:51:11.163849,136.0,21.6,101.3,99.9
2026-01-27T19:52:11.583902,128.0,21.3,101.4,99.9
2026-01-27T19:53:12.025904,120.0,21.0,101.1,99.9
2026-01-27T19:54:12.444755,120.0,20.8,100.9,99.9
2026-01-27T19:55:12.864465,128.0,20.6,100.8,99.9
2026-01-27T19:56:13.283264,120.0,20.5,100.8,99.9
2026-01-27T19:57:13.702286,120.0,20.5,100.9,99.9
2026-01-27T19:58:14.122388,128.0,20.8,101.1,99.9
2026-01-27T19:59:14.540574,128.0,21.1,101.3,99.9
2026-01-27T20:00:14.982017,128.0,21.4,101.2,99.9
2026-01-27T20:01:15.443206,144.0,21.7,101.0,99.9
2026-01-27T20:02:15.861685,120.0,21.9,101.3,100.0
2026-01-27T20:03:16.280807,128.0,22.2,101.8,99.9
2026-01-27T20:04:16.700660,128.0,22.3,101.8,99.9
2026-01-27T20:05:17.118986,120.0,22.4,101.7,99.9
2026-01-27T20:06:17.537940,120.0,22.5,101.6,99.9
2026-01-27T20:07:17.955697,120.0,22.3,101.8,99.9
2026-01-27T20:08:18.372892,120.0,22.0,101.5,99.9
2026-01-27T20:09:18.792574,128.0,21.7,101.6,99.9
2026-01-27T20:10:19.245576,136.0,21.4,101.8,99.9
2026-01-27T20:11:19.666001,120.0,21.2,101.4,99.9
2026-01-27T20:12:20.083741,120.0,21.0,101.4,99.9
2026-01-27T20:13:20.505064,120.0,20.7,101.3,99.9
2026-01-27T20:14:20.924796,120.0,20.5,101.2,99.9
2026-01-27T20:15:21.365476,120.0,20.4,101.0,99.9
2026-01-27T20:16:21.787415,120.0,20.5,101.0,99.9
2026-01-27T20:17:22.206767,120.0,20.9,101.1,99.9
2026-01-27T20:18:22.626807,120.0,21.2,101.0,99.9
2026-01-27T20:19:23.048923,144.0,21.6,101.0,99.9
2026-01-27T20:20:23.467930,120.0,21.8,101.1,99.9
2026-01-27T20:21:23.885997,128.0,22.1,101.3,99.9
2026-01-27T20:22:24.329449,120.0,22.3,101.4,99.9
2026-01-27T20:23:24.748616,120.0,22.4,101.3,99.9
2026-01-27T20:24:25.167588,128.0,22.5,101.3,99.9
